(0, b'frontlefthip', 0, 7, 6, 1, 0.0, 0.0, -0.261799, 0.261799, 1.0, 20.0, b'lefthip', (0.0, 0.0, 1.0), (0.036820823268733045, -0.0032187445923010025, 0.0002928071422210729), (8.094655176411644e-17, 0.7071067811865476, 0.7071067811865475, -5.649053859432884e-18), -1)
(1, b'thigh_leftfront', 0, 8, 7, 1, 0.0, 0.0, 0.0, 1.0472, 1.0, 20.0, b'leftthigh', (0.0, 0.0, 1.0), (-0.016235012918765213, 0.004548734644703098, 0.004023125869923632), (0.6385765445680444, -0.30367745508605326, 0.6385765445680379, 0.3036774550860489), 0)
(2, b'foot_leftfront', 0, 9, 8, 1, 0.0, 0.0, 0.0, 1.0472, 1.0, 20.0, b'leftfoot', (0.0, 0.0, 1.0), (0.021719204700053413, 0.0003609096221675376, -0.0025047117206796737), (-0.6839522870803616, 0.7295267431681601, -6.3760237458896e-16, -1.6819836886183996e-15), 1)
(3, b'frontlefttip', 0, 10, 9, 1, 0.0, 0.0, 0.0, -1.0, 1.0, 20.0, b'part_1', (0.0, 0.0, 1.0), (-0.029144987542237336, -0.0033829841309998567, -0.0001818632199307754), (0.6830127018922192, 0.1830127018922198, 0.6830127018922192, 0.1830127018922198), 2)
(4, b'backlefthip', 0, 11, 10, 1, 0.0, 0.0, -0.261799, 0.261799, 1.0, 20.0, b'lefthip_2', (0.0, 0.0, 1.0), (0.03682082326873326, 0.0917812554077001, 0.00029280714222099704), (-3.4598524629637378e-15, 0.7071067811865476, 0.7071067811865475, 3.535149960868421e-15), -1)
(5, b'thigh_leftback', 0, 12, 11, 1, 0.0, 0.0, -0.261799, 0.261799, 1.0, 20.0, b'leftthigh_2', (0.0, 0.0, 1.0), (-0.016235012918764592, 0.004548905956569194, 0.004023120215433187), (0.6328755464370099, -0.3153863388323226, 0.6328755464370097, 0.31538633883232126), 4)
(6, b'foot_leftback', 0, 13, 12, 1, 0.0, 0.0, -0.261799, 0.261799, 1.0, 20.0, b'leftfoot_2', (0.0, 0.0, 1.0), (0.021719204700070646, 0.0003609096221728538, -0.0025047117206796407), (-0.6739359009937671, 0.7387898221765913, 2.037134648935979e-15, -2.6535035264965397e-15), 5)
(7, b'backlefttip', 0, 14, 13, 1, 0.0, 0.0, 0.0, -1.0, 1.0, 20.0, b'part_1_2', (0.0, 0.0, 1.0), (-0.029144987542236912, -0.003382984130999785, -0.00018186321993077562), (0.6830127018922192, 0.1830127018922198, 0.6830127018922192, 0.1830127018922198), 6)
(8, b'frontrighthip', 0, 15, 14, 1, 0.0, 0.0, -0.261799, 0.261799, 1.0, 20.0, b'righthip', (0.0, 0.0, 1.0), (-0.03677917673126885, -0.0032187445923011967, 0.0006928071422209869), (0.7071067811865475, 3.298788008512769e-15, -3.177823949081985e-15, 0.7071067811865476), -1)
(9, b'thigh_frontright', 0, 16, 15, 1, 0.0, 0.0, -1.0472, 0.0, 1.0, 20.0, b'rightthigh', (0.0, 0.0, 1.0), (-0.01647186512658459, -0.0046779815538129325, 0.0032741966721879442), (0.6305503681652992, 0.32000973923711346, 0.630550368165298, -0.320009739237117), 8)
(10, b'foot_frontright', 0, 17, 16, 1, 0.0, 0.0, -1.0472, 0.0, 1.0, 20.0, b'rightfoot', (0.0, 0.0, 1.0), (0.021719204683293917, -0.00036090885672960274, -0.002504711808598235), (0.6319595185606013, 0.7750013979991605, -2.2449744810756175e-16, -1.7841885890104564e-16), 9)
(11, b'frontrighttip', 0, 18, 17, 1, 0.0, 0.0, 0.0, -1.0, 1.0, 20.0, b'part_1_3', (0.0, 0.0, 1.0), (-0.02903960838853903, 0.0033861149143353674, -0.00018587236919459732), (-0.18301270189221944, -0.6830127018922193, 0.18301270189221944, 0.6830127018922193), 10)
(12, b'backrighthip', 0, 19, 18, 1, 0.0, 0.0, -0.261799, 0.261799, 1.0, 20.0, b'righthip_2', (0.0, 0.0, 1.0), (-0.03677917673126976, 0.09178125540770007, 0.0006928071422210103), (0.7071067811865475, 2.6366523858415634e-15, -2.7119498837462443e-15, 0.7071067811865476), -1)
(13, b'thigh_backright', 0, 20, 19, 1, 0.0, 0.0, -1.0472, 0.0, 1.0, 20.0, b'rightthigh_2', (0.0, 0.0, 1.0), (-0.01647186512658491, -0.004663709109165366, 0.003274859847328372), (0.640281180534087, 0.30006667568038115, 0.6402811805340874, -0.3000666756803829), 12)
(14, b'foot_backright', 0, 21, 20, 1, 0.0, 0.0, -1.0472, 0.0, 1.0, 20.0, b'rightfoot_2', (0.0, 0.0, 1.0), (0.0217192046832995, -0.0003609088567216768, -0.002504711808599176), (0.6951896544714056, 0.718826365902036, -4.0820318084072814e-16, 3.0480076826683226e-16), 13)
(15, b'backrighttip', 0, 22, 21, 1, 0.0, 0.0, 0.0, -1.0, 1.0, 20.0, b'part_1_4', (0.0, 0.0, 1.0), (-0.029039608388539147, 0.0033861149143354207, -0.00018587236919466476), (-0.18301270189221944, -0.6830127018922192, 0.18301270189221944, 0.6830127018922193), 14)
